City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
529,Salinopolis,BR,80.82,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
530,Yuanping,CN,63.84,38.7153,112.7575,Yuanping Xinghe Guesthouse
531,Nkowakowa,ZA,64.69,-23.8878,30.2871,Moytel 966A Guest House & Spa
532,Road Town,VG,82.49,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
533,Ontario,US,88.43,34.0633,-117.6509,Capri Motel
535,Pahrump,US,88.25,36.2083,-115.9839,Best Western Pahrump Oasis
538,Necochea,AR,67.53,-38.5473,-58.7368,dyd -mar Hotel
539,Primo Tapia,MX,78.94,32.22,-116.9172,Puerto Nuevo Baja Hotel y Villas
540,Puerto Wilches,CO,84.76,7.3483,-73.896,Apartahotel Altamira
542,Cabatuan,PH,77.54,10.8794,122.486,MVC Transient Room
544,Nelson Bay,AU,62.01,-32.7167,152.15,Mantra Nelson Bay
