City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
531,Tutoia,BR,78.51,Clouds,-2.7619,-42.2744,Pousada Guará's
534,Soyo,AO,77.49,Clouds,-6.1349,12.3689,Hotel Mpampa
535,Faya,SA,66.31,Clear,18.3851,42.4509,املاك خالد الشعشوع
537,Warrnambool,AU,51.82,Clouds,-38.3833,142.4833,Lady Bay Resort
538,Hovd,MN,54.32,Clear,48.0056,91.6419,Hotel Khovd
539,Warri,NG,75.18,Clouds,5.5167,5.75,BON Hotel Delta
542,Shimoda,JP,62.96,Clouds,34.6667,138.95,Shimoda Tokyu Hotel
543,Barcelona,ES,63.54,Clouds,41.3888,2.159,Axel Hotel Barcelona
544,Smithers,CA,50.32,Clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
545,Sturgis,US,55.53,Rain,41.7992,-85.4192,Best Western Plus Howe Inn
546,Edgewater,US,88.03,Clouds,28.9889,-80.9023,Islander Beach Resort
549,Bathsheba,BB,79.41,Clouds,13.2167,-59.5167,Atlantis Hotel
551,Moindou,NC,78.26,Clear,-21.6924,165.677,Equi-lodge de Moindou
553,Belmonte,BR,76.51,Clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
554,Karaton,ID,76.91,Clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
555,Caravelas,BR,74.62,Clouds,-17.7125,-39.2481,Pousada dos Navegantes
556,Calabozo,VE,76.35,Clouds,8.9242,-67.4293,Hotel Giardini
557,Garowe,SO,80.47,Clear,8.4054,48.4845,Curubo Hotel
558,Zadar,HR,56.01,Clouds,44.1197,15.2422,Hotel Kolovare
559,Russell,US,80.2,Clouds,32.3502,-85.1999,Macs
560,Ixtapa,MX,79.23,Clouds,20.7,-105.2,hotel la terminal
562,Antofagasta,CL,61.88,Clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
563,Kerman,IR,58.86,Clear,30.2832,57.0788,هتل آپارتمان آسام
564,Bubaque,GW,77.72,Clear,11.2833,-15.8333,"Casa Dora, Bubaque"
565,Lingyuan,CN,51.75,Clouds,41.24,119.4011,Guomao Hotel
568,Palmer,US,61.21,Clouds,42.1584,-72.3287,Wedgewood Motel
569,Pitimbu,BR,77.59,Clouds,-7.4706,-34.8086,Reserva do Abiaí
571,Pasighat,IN,72.79,Clear,28.0667,95.3333,Siang Guest House
572,Vallenar,CL,63.91,Clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
573,Tarata,BO,67.42,Clear,-17.6167,-66.0167,Hacienda castillo
574,Reconquista,AR,63.39,Clouds,-29.15,-59.65,Grand Hotel
